point_id,utm_easting,utm_northing,utm_zone,elevation,array,Ellipsoidal_Ht,Ortho_Ht,mic_type,notes
SBT-3-18-23,442153.4107,6094897.352,12,606.5411,SBT-3-18,583.5171,606.5411,ARU,
SBT-3-18-24,442177.1965,6094922.84,12,612.2729,SBT-3-18,589.2489,612.2729,ARU,
SBT-3-18-25,442209.3631,6094933.035,12,615.0964,SBT-3-18,592.0724,615.0964,ARU,
SBT-3-18-26,442107.81,6094840.403,12,602.1575,SBT-3-18,579.1335,602.1575,EXTMIC,
SBT-3-18-27,442141.4468,6094854.057,12,606.4582,SBT-3-18,583.4342,606.4582,EXTMIC,
SBT-3-18-28,442170.8873,6094876.759,12,608.8077,SBT-3-18,585.7837,608.8077,EXTMIC,
SBT-3-18-29,442194.9515,6094892.917,12,611.3222,SBT-3-18,588.2982,611.3222,EXTMIC,
SBT-3-18-30,442224.0528,6094914.753,12,614.2347,SBT-3-18,591.2107,614.2347,EXTMIC,
SBT-3-18-31,442127.3849,6094807.557,12,603.2834,SBT-3-18,580.2594,603.2834,ARU,
SBT-3-18-32,442156.0581,6094825.052,12,605.5891,SBT-3-18,582.5651,605.5891,ARU,
SBT-3-18-33,442183.46,6094842.691,12,608.5127,SBT-3-18,585.4887,608.5127,ARU,
SBT-3-18-34,442219.3064,6094863.824,12,608.5257,SBT-3-18,585.5017,608.5257,ARU,
SBT-3-18-35,442244.0784,6094883.811,12,610.6354,SBT-3-18,587.6114,610.6354,ARU,
SBT-3-18-36,442147.7302,6094776.417,12,605.8382,SBT-3-18,582.8142,605.8382,EXTMIC,
SBT-3-18-37,442173.3712,6094799.706,12,606.816,SBT-3-18,583.792,606.816,EXTMIC,
SBT-3-18-38,442203.9361,6094812.795,12,611.0615,SBT-3-18,588.0375,611.0615,EXTMIC,
SBT-3-18-39,442231.7819,6094832.13,12,609.9023,SBT-3-18,586.8783,609.9023,EXTMIC,
SBT-3-18-40,442264.7465,6094856.183,12,612.058,SBT-3-18,589.034,612.058,EXTMIC,
SBT-3-18-41,442162.3992,6094750.031,12,605.7087,SBT-3-18,582.6847,605.7087,ARU,
SBT-3-18-42,442194.4166,6094762.81,12,600.4441,SBT-3-18,577.4201,600.4441,ARU,
SBT-3-18-43,442224.498,6094787.854,12,612.1147,SBT-3-18,589.0907,612.1147,ARU,
SBT-3-18-44,442253.7546,6094804.892,12,607.0669,SBT-3-18,584.0429,607.0669,ARU,
SBT-3-18-45,442280.5068,6094820.256,12,613.4248,SBT-3-18,590.4008,613.4248,ARU,
SBT-3-18-46,442181.8584,6094718.623,12,601.0157,SBT-3-18,577.9917,601.0157,EXTMIC,
SBT-3-18-47,442212.3837,6094738.912,12,607.2122,SBT-3-18,584.1882,607.2122,EXTMIC,
SBT-3-18-48,442240.1869,6094756.577,12,608.6242,SBT-3-18,585.6002,608.6242,EXTMIC,
SBT-3-18-49,442266.7289,6094776.431,12,610.9748,SBT-3-18,587.9508,610.9748,EXTMIC,
SBT-3-18-50,442295.6624,6094795.714,12,610.8978,SBT-3-18,587.8738,610.8978,EXTMIC,
SBT-3-32-1,470606.5991,6095040.374,12,659.5664,SBT-3-32,636.1144,659.5664,ARU,
SBT-3-32-2,470643.7299,6095036.957,12,670.9889,SBT-3-32,647.5369,670.9889,EXTMIC,
SBT-3-32-3,470674.218,6095038.757,12,671.8752,SBT-3-32,648.4232,671.8752,ARU,
SBT-3-32-4,470714.6871,6095037.422,12,666.9497,SBT-3-32,643.4977,666.9497,EXTMIC,
SBT-3-32-5,470748.5255,6095043.339,12,665.2652,SBT-3-32,641.8132,665.2652,ARU,
SBT-3-32-6,470617.08,6095004.156,12,666.5637,SBT-3-32,643.1117,666.5637,ARU,
SBT-3-32-7,470648.0575,6095005.141,12,675.7384,SBT-3-32,652.2864,675.7384,EXTMIC,
SBT-3-32-8,470678.5722,6095006.746,12,669.9488,SBT-3-32,646.4968,669.9488,ARU,
SBT-3-32-9,470711.154,6095005.855,12,675.7695,SBT-3-32,652.3175,675.7695,EXTMIC,
SBT-3-32-10,470746.4543,6095007.118,12,663.7179,SBT-3-32,640.2659,663.7179,ARU,
SBT-3-32-11,470611.6073,6094968.893,12,676.5009,SBT-3-32,653.0489,676.5009,ARU,
SBT-3-32-12,470647.0954,6094966.113,12,677.0511,SBT-3-32,653.5991,677.0511,EXTMIC,
SBT-3-32-13,470677.0054,6094971.008,12,677.3228,SBT-3-32,653.8708,677.3228,ARU,
SBT-3-32-14,470713.506,6094967.677,12,675.2917,SBT-3-32,651.8397,675.2917,EXTMIC,
SBT-3-32-15,470743.7451,6094971.033,12,666.2698,SBT-3-32,642.8178,666.2698,ARU,
SBT-3-32-16,470614.857,6094934.557,12,675.9737,SBT-3-32,652.5217,675.9737,ARU,
SBT-3-32-17,470644.0068,6094933.246,12,680.5709,SBT-3-32,657.1189,680.5709,EXTMIC,
SBT-3-32-18,470677.8612,6094927.627,12,678.585,SBT-3-32,655.133,678.585,ARU,
SBT-3-32-19,470709.6581,6094933.042,12,679.8951,SBT-3-32,656.4431,679.8951,EXTMIC,
SBT-3-32-20,470749.8455,6094934.299,12,671.7401,SBT-3-32,648.2881,671.7401,ARU,
SBT-3-32-21,470608.2855,6094900.694,12,682.2553,SBT-3-32,658.8033,682.2553,ARU,
SBT-3-32-22,470639.6588,6094897.986,12,685.5367,SBT-3-32,662.0847,685.5367,EXTMIC,
SBT-3-32-23,470672.5626,6094901.443,12,689.4484,SBT-3-32,665.9964,689.4484,ARU,
SBT-3-32-24,470713.3593,6094900.33,12,677.1492,SBT-3-32,653.6972,677.1492,EXTMIC,
SBT-3-32-25,470746.2154,6094902.46,12,684.3512,SBT-3-32,660.8992,684.3512,ARU,
SBT-3-32-26,470781.6788,6095033.74,12,664.7026,SBT-3-32,641.2506,664.7026,EXTMIC,
SBT-3-32-27,470815.062,6095041.0,12,656.4426,SBT-3-32,632.9906,656.4426,ARU,
SBT-3-32-28,470852.3181,6095039.042,12,656.0096,SBT-3-32,632.5576,656.0096,EXTMIC,
SBT-3-32-29,470886.2983,6095037.76,12,660.7241,SBT-3-32,637.2721,660.7241,ARU,
SBT-3-32-30,470923.8985,6095035.863,12,662.9327,SBT-3-32,639.4807,662.9327,EXTMIC,
SBT-3-32-31,470780.3757,6095003.0,12,666.183,SBT-3-32,642.731,666.183,EXTMIC,
SBT-3-32-32,470816.5348,6095005.778,12,662.739,SBT-3-32,639.287,662.739,ARU,
SBT-3-32-33,470853.6651,6094998.449,12,664.5125,SBT-3-32,641.0605,664.5125,EXTMIC,
SBT-3-32-34,470885.2211,6095009.567,12,658.6958,SBT-3-32,635.2438,658.6958,ARU,
SBT-3-32-35,470923.8226,6095004.013,12,663.5135,SBT-3-32,640.0615,663.5135,EXTMIC,"Adjusted coordinates (1.76336,_2.42705)"
SBT-3-32-36,470780.964,6094973.137,12,670.5991,SBT-3-32,647.1471,670.5991,EXTMIC,
SBT-3-32-37,470817.8509,6094968.067,12,664.1074,SBT-3-32,640.6554,664.1074,ARU,
SBT-3-32-38,470854.8624,6094970.696,12,661.8973,SBT-3-32,638.4453,661.8973,EXTMIC,
SBT-3-32-39,470890.4563,6094969.188,12,664.7754,SBT-3-32,641.3234,664.7754,ARU,
SBT-3-32-40,470921.7347,6094968.893,12,662.0893,SBT-3-32,638.6373,662.0893,EXTMIC,
SBT-3-32-41,470785.5354,6094931.972,12,668.3719,SBT-3-32,644.9199,668.3719,EXTMIC,
SBT-3-32-42,470812.9466,6094930.869,12,671.1758,SBT-3-32,647.7238,671.1758,ARU,
SBT-3-32-43,470851.6734,6094933.754,12,672.7297,SBT-3-32,649.2777,672.7297,EXTMIC,
